"spc","condition","dist","bee","dance","run","start","end","frames","return_phase","circuit_dur","wag_phase","ret_phase","circuit"
"Apis cerena","OF",400,"W/P",1,3,14802,14876,74,164,238,1480,3280,4760
"Apis cerena","OF",400,"W/P",1,4,15040,15112,72,146,218,1440,2920,4360
"Apis cerena","OF",400,"W/P",1,5,15258,15347,89,124,213,1780,2480,4260
"Apis cerena","OF",400,"W/P",1,6,15471,15571,100,129,229,2000,2580,4580
"Apis cerena","OF",400,"W/P",1,7,15700,15788,88,NA,NA,1760,NA,NA
"Apis cerena","OF",400,"O-",2,1,59443,59506,63,85,148,1260,1700,2960
"Apis cerena","OF",400,"O-",2,2,59591,59664,73,104,177,1460,2080,3540
"Apis cerena","OF",400,"O-",2,3,59768,59792,24,110,134,480,2200,2680
"Apis cerena","OF",400,"O-",2,4,59902,59975,73,113,186,1460,2260,3720
"Apis cerena","OF",400,"O-",2,5,60088,60147,59,110,169,1180,2200,3380
"Apis cerena","OF",400,"O-",2,6,60257,60323,66,83,149,1320,1660,2980
"Apis cerena","OF",400,"O-",2,7,60406,60459,53,NA,NA,1060,NA,NA
"Apis cerena","OF",400," -W",3,1,19375,19487,112,116,228,2240,2320,4560
"Apis cerena","OF",400," -W",3,2,19603,19703,100,106,206,2000,2120,4120
"Apis cerena","OF",400," -W",3,3,19809,19907,98,122,220,1960,2440,4400
"Apis cerena","OF",400," -W",3,4,20029,20138,109,124,233,2180,2480,4660
"Apis cerena","OF",400," -W",3,5,20262,20363,101,121,222,2020,2420,4440
"Apis cerena","OF",400," -W",3,6,20484,20527,43,114,157,860,2280,3140
"Apis cerena","OF",400," -W",3,7,20641,20717,76,109,185,1520,2180,3700
"Apis cerena","OF",400," -W",3,8,20826,20900,74,120,194,1480,2400,3880
"Apis cerena","OF",400," -W",3,9,21020,21076,56,NA,NA,1120,NA,NA
"Apis cerena","OF",400," -W",4,1,33888,33961,73,97,170,1460,1940,3400
"Apis cerena","OF",400," -W",4,2,34058,34164,106,126,232,2120,2520,4640
"Apis cerena","OF",400," -W",4,3,34290,34389,99,106,205,1980,2120,4100
"Apis cerena","OF",400," -W",4,4,34495,34586,91,118,209,1820,2360,4180
"Apis cerena","OF",400," -W",4,5,34704,34785,81,109,190,1620,2180,3800
"Apis cerena","OF",400," -W",4,6,34894,35015,121,131,252,2420,2620,5040
"Apis cerena","OF",400," -W",4,7,35146,35222,76,112,188,1520,2240,3760
"Apis cerena","OF",400," -W",4,8,35334,35415,81,141,222,1620,2820,4440
"Apis cerena","OF",400," -W",4,9,35556,35645,89,148,237,1780,2960,4740
"Apis cerena","OF",400," -W",4,10,35793,35907,114,119,233,2280,2380,4660
"Apis cerena","OF",400," -W",4,11,36026,36146,120,NA,NA,2400,NA,NA
"Apis cerena","OF",400,"W/O",2,1,59867,59896,29,97,126,580,1940,2520
"Apis cerena","OF",400,"W/O",2,2,59993,60075,82,109,191,1640,2180,3820
"Apis cerena","OF",400,"W/O",2,3,60184,60281,97,149,246,1940,2980,4920
"Apis cerena","OF",400,"W/O",2,4,60430,60514,84,123,207,1680,2460,4140
"Apis cerena","OF",400,"W/O",2,5,60637,60734,97,131,228,1940,2620,4560
"Apis cerena","OF",400,"W/O",2,6,60865,60954,89,134,223,1780,2680,4460
"Apis cerena","OF",400,"W/O",2,7,61088,61200,112,NA,NA,2240,NA,NA
"Apis cerena","OF",500," -WO",1,1,15167,15253,86,98,184,1720,1960,3680
"Apis cerena","OF",500," -WO",1,2,15351,15476,125,124,249,2500,2480,4980
"Apis cerena","OF",500," -WO",1,3,15600,15695,95,94,189,1900,1880,3780
"Apis cerena","OF",500," -WO",1,4,15789,15864,75,120,195,1500,2400,3900
"Apis cerena","OF",500," -WO",1,5,15984,16100,116,119,235,2320,2380,4700
"Apis cerena","OF",500," -WO",1,6,16219,16336,117,117,234,2340,2340,4680
"Apis cerena","OF",500," -WO",1,7,16453,16560,107,120,227,2140,2400,4540
"Apis cerena","OF",500," -WO",1,8,16680,16795,115,130,245,2300,2600,4900
"Apis cerena","OF",500," -WO",1,9,16925,17022,97,144,241,1940,2880,4820
"Apis cerena","OF",500," -WO",1,10,17166,17275,109,113,222,2180,2260,4440
"Apis cerena","OF",500," -WO",1,11,17388,17471,83,120,203,1660,2400,4060
"Apis cerena","OF",500," -WO",1,12,17591,17699,108,371,479,2160,7420,9580
"Apis cerena","OF",500," -WO",1,13,18070,18191,121,131,252,2420,2620,5040
"Apis cerena","OF",500," -WO",1,14,18322,18427,105,270,375,2100,5400,7500
"Apis cerena","OF",500," -WO",1,15,18697,18812,115,NA,NA,2300,NA,NA
"Apis cerena","OF",500,"W-",1,1,45212,45258,46,117,163,920,2340,3260
"Apis cerena","OF",500,"W-",1,2,45375,45383,8,101,109,160,2020,2180
"Apis cerena","OF",500,"W-",1,3,45484,45540,56,115,171,1120,2300,3420
"Apis cerena","OF",500,"W-",1,4,45655,45742,87,111,198,1740,2220,3960
"Apis cerena","OF",500,"W-",1,5,45853,45933,80,127,207,1600,2540,4140
"Apis cerena","OF",500,"W-",1,6,46060,46173,113,115,228,2260,2300,4560
"Apis cerena","OF",500,"W-",1,7,46288,46381,93,128,221,1860,2560,4420
"Apis cerena","OF",500,"W-",1,8,46509,46602,93,105,198,1860,2100,3960
"Apis cerena","OF",500,"W-",1,9,46707,46780,73,121,194,1460,2420,3880
"Apis cerena","OF",500,"W-",1,10,46901,47012,111,150,261,2220,3000,5220
"Apis cerena","OF",500,"W-",1,11,47162,47213,51,117,168,1020,2340,3360
"Apis cerena","OF",500,"W-",1,12,47330,47467,137,105,242,2740,2100,4840
"Apis cerena","OF",500,"W-",1,13,47572,47636,64,116,180,1280,2320,3600
"Apis cerena","OF",500,"W-",1,14,47752,47859,107,135,242,2140,2700,4840
"Apis cerena","OF",500,"W-",1,15,47994,48091,97,NA,NA,1940,NA,NA
"Apis cerena","OF",500,"W/B",1,1,59349,59412,63,184,247,1260,3680,4940
"Apis cerena","OF",500,"W/B",1,2,59596,59722,126,125,251,2520,2500,5020
"Apis cerena","OF",500,"W/B",1,3,59847,59980,133,158,291,2660,3160,5820
"Apis cerena","OF",500,"W/B",1,4,60138,60273,135,213,348,2700,4260,6960
"Apis cerena","OF",500,"W/B",1,5,60486,60602,116,121,237,2320,2420,4740
"Apis cerena","OF",500,"W/B",1,6,60723,60866,143,NA,NA,2860,NA,NA
"Apis cerena","OF",500,"W/P",1,1,10654,10803,149,114,263,2980,2280,5260
"Apis cerena","OF",500,"W/P",1,2,10917,11088,171,126,297,3420,2520,5940
"Apis cerena","OF",500,"W/P",1,3,11214,11347,133,115,248,2660,2300,4960
"Apis cerena","OF",500,"W/P",1,4,11462,11614,152,116,268,3040,2320,5360
"Apis cerena","OF",500,"W/P",1,5,11730,11898,168,132,300,3360,2640,6000
"Apis cerena","OF",500,"W/P",1,6,12030,12163,133,133,266,2660,2660,5320
"Apis cerena","OF",500,"W/P",1,7,12296,12377,81,155,236,1620,3100,4720
"Apis cerena","OF",500,"W/P",1,8,12532,12673,141,135,276,2820,2700,5520
"Apis cerena","OF",500,"W/P",1,9,12808,12962,154,123,277,3080,2460,5540
"Apis cerena","OF",500,"W/P",1,10,13085,13268,183,127,310,3660,2540,6200
"Apis cerena","OF",500,"W/P",1,11,13395,13544,149,140,289,2980,2800,5780
"Apis cerena","OF",500,"W/P",1,12,13684,13875,191,108,299,3820,2160,5980
"Apis cerena","OF",500,"W/P",1,13,13983,14154,171,106,277,3420,2120,5540
"Apis cerena","OF",500,"W/P",1,14,14260,14404,144,109,253,2880,2180,5060
"Apis cerena","OF",500,"W/P",1,15,14513,14713,200,103,303,4000,2060,6060
"Apis cerena","OF",500,"W/P",1,16,14816,15006,190,128,318,3800,2560,6360
"Apis cerena","OF",500,"W/P",1,17,15134,15320,186,125,311,3720,2500,6220
"Apis cerena","OF",500,"W/P",1,18,15445,15596,151,130,281,3020,2600,5620
"Apis cerena","OF",500,"W/P",1,19,15726,15838,112,137,249,2240,2740,4980
"Apis cerena","OF",500,"W/P",1,20,15975,16140,165,146,311,3300,2920,6220
"Apis cerena","OF",500,"W/P",1,21,16286,16447,161,108,269,3220,2160,5380
"Apis cerena","OF",500,"W/P",1,22,16555,16656,101,137,238,2020,2740,4760
"Apis cerena","OF",500,"W/P",1,23,16793,17004,211,105,316,4220,2100,6320
"Apis cerena","OF",500,"W/P",1,24,17109,17278,169,132,301,3380,2640,6020
"Apis cerena","OF",500,"W/P",1,25,17410,17549,139,122,261,2780,2440,5220
"Apis cerena","OF",500,"W/P",1,26,17671,17887,216,NA,NA,4320,NA,NA
"Apis cerena","OF",500," -WO",2,1,35452,35534,82,100,182,1640,2000,3640
"Apis cerena","OF",500," -WO",2,2,35634,35750,116,131,247,2320,2620,4940
"Apis cerena","OF",500," -WO",2,3,35881,35983,102,135,237,2040,2700,4740
"Apis cerena","OF",500," -WO",2,4,36118,36237,119,128,247,2380,2560,4940
"Apis cerena","OF",500," -WO",2,5,36365,36449,84,129,213,1680,2580,4260
"Apis cerena","OF",500," -WO",2,6,36578,36686,108,118,226,2160,2360,4520
"Apis cerena","OF",500," -WO",2,7,36804,36910,106,127,233,2120,2540,4660
"Apis cerena","OF",500," -WO",2,8,37037,37153,116,137,253,2320,2740,5060
"Apis cerena","OF",500," -WO",2,9,37290,37418,128,104,232,2560,2080,4640
"Apis cerena","OF",500," -WO",2,10,37522,37638,116,122,238,2320,2440,4760
"Apis cerena","OF",500," -WO",2,11,37760,37869,109,106,215,2180,2120,4300
"Apis cerena","OF",500," -WO",2,12,37975,38121,146,174,320,2920,3480,6400
"Apis cerena","OF",500," -WO",2,13,38295,38386,91,122,213,1820,2440,4260
"Apis cerena","OF",500," -WO",2,14,38508,38626,118,144,262,2360,2880,5240
"Apis cerena","OF",500," -WO",2,15,38770,38899,129,159,288,2580,3180,5760
"Apis cerena","OF",500," -WO",2,16,39058,39175,117,141,258,2340,2820,5160
"Apis cerena","OF",500," -WO",2,17,39316,39437,121,122,243,2420,2440,4860
"Apis cerena","OF",500," -WO",2,18,39559,39675,116,138,254,2320,2760,5080
"Apis cerena","OF",500," -WO",2,19,39813,39922,109,116,225,2180,2320,4500
"Apis cerena","OF",500," -WO",2,20,40038,40158,120,NA,NA,2400,NA,NA
"Apis cerena","OF",500," -WO",3,1,8221,8238,17,130,147,340,2600,2940
"Apis cerena","OF",500," -WO",3,2,8368,8457,89,111,200,1780,2220,4000
"Apis cerena","OF",500," -WO",3,3,8568,8668,100,119,219,2000,2380,4380
"Apis cerena","OF",500," -WO",3,4,8787,8921,134,115,249,2680,2300,4980
"Apis cerena","OF",500," -WO",3,5,9036,9163,127,150,277,2540,3000,5540
"Apis cerena","OF",500," -WO",3,6,9313,9410,97,155,252,1940,3100,5040
"Apis cerena","OF",500," -WO",3,7,9565,9692,127,125,252,2540,2500,5040
"Apis cerena","OF",500," -WO",3,8,9817,9934,117,116,233,2340,2320,4660
"Apis cerena","OF",500," -WO",3,9,10050,10160,110,153,263,2200,3060,5260
"Apis cerena","OF",500," -WO",3,10,10313,10425,112,122,234,2240,2440,4680
"Apis cerena","OF",500," -WO",3,11,10547,10705,158,199,357,3160,3980,7140
"Apis cerena","OF",500," -WO",3,12,10904,10994,90,145,235,1800,2900,4700
"Apis cerena","OF",500," -WO",3,13,11139,11221,82,NA,NA,1640,NA,NA
"Apis cerena","OF",500,"W/B",2,1,31368,31426,58,60,118,1160,1200,2360
"Apis cerena","OF",500,"W/B",2,2,31486,31508,22,29,51,440,580,1020
"Apis cerena","OF",500,"W/B",2,3,31537,31587,50,NA,NA,1000,NA,NA
"Apis cerena","OF",500,"W/B",3,1,56251,56367,116,113,229,2320,2260,4580
"Apis cerena","OF",500,"W/B",3,2,56480,56594,114,182,296,2280,3640,5920
"Apis cerena","OF",500,"W/B",3,3,56776,56879,103,137,240,2060,2740,4800
"Apis cerena","OF",500,"W/B",3,4,57016,57113,97,116,213,1940,2320,4260
"Apis cerena","OF",500,"W/B",3,5,57229,57343,114,139,253,2280,2780,5060
"Apis cerena","OF",500,"W/B",3,6,57482,57591,109,111,220,2180,2220,4400
"Apis cerena","OF",500,"W/B",3,7,57702,57827,125,NA,NA,2500,NA,NA
"Apis cerena","OF",500," -WO",4,1,4032,4125,93,191,284,1860,3820,5680
"Apis cerena","OF",500," -WO",4,2,4316,4427,111,159,270,2220,3180,5400
"Apis cerena","OF",500," -WO",4,3,4586,4702,116,NA,NA,2320,NA,NA
"Apis cerena","OF",500," -WO",5,1,33129,33172,43,81,124,860,1620,2480
"Apis cerena","OF",500," -WO",5,2,33253,33352,99,131,230,1980,2620,4600
"Apis cerena","OF",500," -WO",5,3,33483,33567,84,139,223,1680,2780,4460
"Apis cerena","OF",500," -WO",5,4,33706,33793,87,112,199,1740,2240,3980
"Apis cerena","OF",500," -WO",5,5,33905,34019,114,NA,NA,2280,NA,NA
